group,monitor,aqs_site_id,county,row_type,row,health_effects,period,period_start,period_end,value_shown,statistic,mean_ppb,screening_level_ppb,n_samples,n_weeks,coverage,coverage_flag,design_value,naaqs,dv_method,data_cutoff
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,4.402,mean ÷ screening level,0.18704,0.04249,6600.0,,0.75342,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,3.7888,mean ÷ screening level,0.16099,0.04249,7062.0,,0.80396,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,4.2637,mean ÷ screening level,0.18117,0.04249,7252.0,,0.82785,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-09-12,1.808,mean ÷ screening level,0.07682,0.04249,5174.0,,0.84542,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-09-12,2026-09-12,2.9214,mean ÷ screening level,0.12413,0.04249,7407.0,,0.84324,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,"1,3-Butadiene",Cancer,Sep 2026,2026-09-01,2026-09-30,0.4707,mean of weekly means ÷ screening level,0.02,0.04249,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,2.4555,mean ÷ screening level,0.27671,0.11269,6730.0,,0.76826,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,3.1482,mean ÷ screening level,0.35477,0.11269,7062.0,,0.80396,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,2.8265,mean ÷ screening level,0.31851,0.11269,7252.0,,0.82785,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,Benzene,Cancer,2026 YTD,2026-01-01,2026-09-12,1.8776,mean ÷ screening level,0.21159,0.11269,5217.0,,0.85245,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,Benzene,Cancer,Last 365 Days,2025-09-12,2026-09-12,2.5691,mean ÷ screening level,0.2895,0.11269,7450.0,,0.84813,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,pollutant,Benzene,Cancer,Sep 2026,2026-09-01,2026-09-30,2.5059,mean of weekly means ÷ screening level,0.28238,0.11269,151.0,1.0,0.89881,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,total,Total (Combined),,2023,2023-01-01,2023-12-31,6.8575,sum of pollutant ratios,,,,,0.75342,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,total,Total (Combined),,2024,2024-01-01,2024-12-31,6.9371,sum of pollutant ratios,,,,,0.80396,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,total,Total (Combined),,2025,2025-01-01,2025-12-31,7.0901,sum of pollutant ratios,,,,,0.82785,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,total,Total (Combined),,2026 YTD,2026-01-01,2026-09-12,3.6856,sum of pollutant ratios,,,,,0.84542,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,total,Total (Combined),,Last 365 Days,2025-09-12,2026-09-12,5.4905,sum of pollutant ratios,,,,,0.84324,,,,,2026-09-12
Cancer Risk,Cesar Chavez [V] POC 1,48-201-6000,Harris,total,Total (Combined),,Sep 2026,2026-09-01,2026-09-30,2.9766,sum of pollutant ratios,,,,,0.89881,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2023,2023-01-01,2023-12-31,3.6027,mean ÷ screening level,0.15308,0.04249,7341.0,,0.83801,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2024,2024-01-01,2024-12-31,5.5935,mean ÷ screening level,0.23767,0.04249,6896.0,,0.78506,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2025,2025-01-01,2025-12-31,6.3594,mean ÷ screening level,0.27021,0.04249,6863.0,,0.78345,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,2026 YTD,2026-01-01,2026-09-12,2.5957,mean ÷ screening level,0.11029,0.04249,5272.0,,0.86144,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,Last 365 Days,2025-09-12,2026-09-12,3.1247,mean ÷ screening level,0.13277,0.04249,7452.0,,0.84836,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,"1,3-Butadiene",Cancer,Sep 2026,2026-09-01,2026-09-30,1.4611,mean of weekly means ÷ screening level,0.06208,0.04249,149.0,1.0,0.8869,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2023,2023-01-01,2023-12-31,8.4311,mean ÷ screening level,0.95007,0.11269,7341.0,,0.83801,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2024,2024-01-01,2024-12-31,8.5947,mean ÷ screening level,0.96851,0.11269,6896.0,,0.78506,,,,,2026-09-12
Cancer Risk,Channelview Drive Water Tower [56] POC 2,48-201-0026,Harris,pollutant,Benzene,Cancer,2025,2025-01-01,2025-12-31,7.1853,mean ÷ screening level,0.80969,0.11269,6863.0,,0.78345,,,,,2026-09-12
